sample,site,reads_total,is_indel_total,is_indel_percent,is_sub_total,is_sub_percent
36EDIT,NickOT38RH_C9568D1B6080495Z0Z,18146,0,0.0,2,0.011021712774165
36EDIT,NickOT39RH_3F7B9D88A44A46AZ0Z,14411,5,0.034695718548331,12,0.08326972451599439
36EDIT,NickOT40RH_3DAC64CA60974A4Z0Z,7609,0,0.0,11,0.14456564594559007
36EDIT,NickOT41RH_7372373A1547415Z0Z,87102,10,0.011480792633923303,59,0.06773667654014759
36EDIT,NickOT42RH_DD88E29AE4424F0Z0Z,9071,0,0.0,90,0.9921728585602446
36EDIT,NickOT43RH_07B3C758A452415Z0Z,7921,3,0.0378740058073473,5,0.0631233430122458
36EDIT,NickOT44RH_55878713FEA3459Z0Z,26889,11,0.040908921863958995,15,0.05578489345085309
36EDIT,NickOT45RH_FAFD133CE810441Z0Z,30972,10,0.032287227172930096,27,0.0871755133669117
36EDIT,NickOT46RH_23B3575E698C474Z0Z,13449,7,0.052048479440850504,60,0.44612982377871824
36EDIT,NickOT47RH_4242BA3B88394FEZ0Z,48574,14,0.028822003540988593,62,0.1276403013958068
36EDIT,NickOT48RH_4FF4210F37604C0Z0Z,8992,2,0.0222419928825622,10,0.11120996441281121
36EDIT,NickOT49RH_CCFEDC49EEBD497Z0Z,7795,2,0.0256574727389352,8,0.10262989095574081
36EDIT,NickOT50RH_27766B9776D941FZ0Z,20115,20,0.09942828734775001,11,0.0546855580412625
36EDIT,NickOT51RH_000B075906564E2Z0Z,182245,188,0.103157836977693,136,0.0746248182391826
36EDIT,NickOT52RH_DE949C7EEE7B4E5Z0Z,99594,16,0.0160652248127394,62,0.0622527461493657
36EDIT,PegOT01RH_4D0B3A56DF8B48AZ0Z,81991,2,0.0024392921174274,15,0.0182946908807059
36EDIT,PegOT02RH_80F5BC9E15204D6Z0Z,93453,2,0.0021401132119888,64,0.06848362278364258
36EDIT,PegOT03RH_9F88B74678F142AZ0Z,21312,0,0.0,4,0.0187687687687684
36EDIT,PegOT04RH_5EFCB0357110466Z0Z,5775,4,0.0692640692640692,3,0.051948051948051896
36EDIT,PegOT05RH_731BA5E34E1543CZ0Z,34326,0,0.0,15,0.043698654081453014
36EDIT,PegOT06RH_3FD344CA2C6349BZ0Z,5578,0,0.0,1,0.017927572606669
36EDIT,PegOT07RH_01D9BD680E1C439Z0Z,17423,0,0.0,7,0.0401767778224184
36EDIT,PegOT08RH_2626A04F7C39432Z0Z,22593,35,0.1549152392333886,7,0.030983047846677797
36EDIT,PegOT09RH_BCE37F58B720440Z0Z,39705,4,0.0100742979473616,14,0.035260042815765995
36EDIT,PegOT10RH_492564EDE38F404Z0Z,5357,0,0.0,11,0.2053388090349069
